movie_id,average_rating,Number_of_votes,title,original_title,start_year,runtime_minutes,studio,domestic_gross_x,foreign_gross,year,total_gross,production_budget,domestic_gross_y,worldwide_gross,ROI,genres
tt1594562,5.5,31089,The Innkeepers,The Innkeepers,2011,101.0,Magn.,78400.0,0,2012,78400.0,750000,78396,1011535,261535,Drama
tt1594562,5.5,31089,The Innkeepers,The Innkeepers,2011,101.0,Magn.,78400.0,0,2012,78400.0,750000,78396,1011535,261535,Horror
tt1594562,5.5,31089,The Innkeepers,The Innkeepers,2011,101.0,Magn.,78400.0,0,2012,78400.0,750000,78396,1011535,261535,Mystery
tt0376136,6.2,94787,The Rum Diary,The Rum Diary,2011,119.0,FD,13100000.0,10800000,2011,23900000.0,45000000,13109815,21544732,-23455268,Comedy
tt0376136,6.2,94787,The Rum Diary,The Rum Diary,2011,119.0,FD,13100000.0,10800000,2011,23900000.0,45000000,13109815,21544732,-23455268,Drama
tt1527186,7.2,153434,Melancholia,Melancholia,2011,135.0,Magn.,3000000.0,12900000,2011,15900000.0,9400000,3030848,21817298,12417298,Drama
tt1527186,7.2,153434,Melancholia,Melancholia,2011,135.0,Magn.,3000000.0,12900000,2011,15900000.0,9400000,3030848,21817298,12417298,Sci-Fi
tt5797456,3.3,26,Melancholia,Melancholy,2017,75.0,Magn.,3000000.0,12900000,2011,15900000.0,9400000,3030848,21817298,12417298,Drama
tt5797456,3.3,26,Melancholia,Melancholy,2017,75.0,Magn.,3000000.0,12900000,2011,15900000.0,9400000,3030848,21817298,12417298,Mystery
tt5797456,3.3,26,Melancholia,Melancholy,2017,75.0,Magn.,3000000.0,12900000,2011,15900000.0,9400000,3030848,21817298,12417298,Romance
tt1604171,5.4,14279,Prom,Prom,2011,104.0,BV,10100000.0,0,2011,10100000.0,8000000,10130219,10763183,2763183,Comedy
tt1604171,5.4,14279,Prom,Prom,2011,104.0,BV,10100000.0,0,2011,10100000.0,8000000,10130219,10763183,2763183,Drama
tt1604171,5.4,14279,Prom,Prom,2011,104.0,BV,10100000.0,0,2011,10100000.0,8000000,10130219,10763183,2763183,Family
